feeder,scenario_id,load_relief,pv_curtail,predicted_risk_buses,predicted_interval_severity,predicted_mean_width,ldf_point_severity
33,133,0.1,0.1,21,0.038781377033803466,0.0005274910307726566,0.035327846135006946
33,133,0.1,0.2,21,0.04110926993348274,0.0005274910307726566,0.037570895948952465
33,133,0.2,0.0,16,0.0235783520980537,0.0006887679490457066,0.021035808792782884
33,133,0.2,0.1,17,0.025783719714559283,0.0005274910307726566,0.0232442665898146
33,133,0.2,0.2,18,0.028149004267680522,0.0005274910307726566,0.025457999725257086
33,134,0.0,0.0,11,0.011178898350556854,0.0002837756508875522,0.009586414871205817
33,134,0.0,0.1,11,0.01220753520703477,0.0005274910307726566,0.010408886938026884
33,134,0.0,0.2,12,0.013111976549849746,0.0005274910307726566,0.011232079587674137
33,134,0.1,0.0,4,0.003966742156576775,0.0002837756508875522,0.0026425218878214363
33,134,0.1,0.1,4,0.004915660046055037,0.0005274910307726566,0.0034589602213156434
33,134,0.1,0.2,7,0.005747023988316502,0.0005274910307726566,0.004276103381352536
33,134,0.2,0.0,0,0.0,0.0002837756508875522,0.0
33,134,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,134,0.2,0.2,0,0.0,0.0005274910307726566,0.0
33,135,0.0,0.0,14,0.011510020538093912,0.0002837756508875522,0.00990150934371814
33,135,0.0,0.1,14,0.012819375740929062,0.0005274910307726566,0.010988661542989164
33,135,0.0,0.2,14,0.013974996730953482,0.0005274910307726566,0.012077073866175736
33,135,0.1,0.0,8,0.003897898696306523,0.0002837756508875522,0.0026618696029439004
33,135,0.1,0.1,10,0.005137428765207508,0.0005274910307726566,0.0037407041826234
33,135,0.1,0.2,10,0.006261910565613316,0.0005274910307726566,0.004820770151287679
33,135,0.2,0.0,0,0.0,0.0002837756508875522,0.0
33,135,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,135,0.2,0.2,0,0.0,0.0005274910307726566,0.0
33,136,0.0,0.0,19,0.031522650949600495,0.0006887679490457066,0.02849940268510598
33,136,0.0,0.1,19,0.032431005071129504,0.0005274910307726566,0.029396992968838687
33,136,0.0,0.2,20,0.033368665551364196,0.0005274910307726566,0.03029545925991739
33,136,0.1,0.0,16,0.021784322274892576,0.0002837756508875522,0.01946226832899145
33,136,0.1,0.1,16,0.02283376836363704,0.0005274910307726566,0.02035113307951808
33,136,0.1,0.2,16,0.023758111137263782,0.0005274910307726566,0.02124084851364949
33,136,0.2,0.0,11,0.01222920679859374,0.0002837756508875522,0.010512060069345242
33,136,0.2,0.1,11,0.01330784035433441,0.0005274910307726566,0.011392448901962227
33,136,0.2,0.2,13,0.014227881835639833,0.0005274910307726566,0.01227366429146004
33,137,0.0,0.0,5,0.012240911513336616,0.0007851903743807398,0.00986566521869825
33,137,0.0,0.1,5,0.015161108760734288,0.0005274910307726532,0.012857212405392393
33,137,0.0,0.2,5,0.01825278283442089,0.0005274910307726532,0.0158583398399883
33,137,0.1,0.0,3,0.002884700597377221,0.0005968840775811868,0.0007459382308118157
33,137,0.1,0.1,4,0.005655682757296998,0.0005274910307726532,0.0037086544350029005
33,137,0.1,0.2,4,0.008587069265410419,0.0005274910307726532,0.006680675700363015
33,137,0.2,0.0,0,0.0,0.0005968840775811834,0.0
33,137,0.2,0.1,0,0.0,0.0005274910307726566,0.0
33,137,0.2,0.2,0,0.0,0.0005274910307726566,0.0
33,139,0.0,0.0,1,0.0005455305927208887,0.0003617790795755883,0.0
33,139,0.0,0.1,3,0.002817601759003696,0.0005274910307726532,0.001405613182717258
33,139,0.0,0.2,4,0.0050157980706844185,0.0005274910307726566,0.003559490157381995
33,139,0.1,0.0,0,0.0,0.0003617790795755984,0.0
33,139,0.1,0.1,0,0.0,0.0005274910307726667,0.0
33,139,0.1,0.2,0,0.0,0.0005274910307726566,0.0
33,139,0.2,0.0,0,0.0,0.0003617790795755984,0.0
33,139,0.2,0.1,0,0.0,0.0005274910307726768,0.0
33,139,0.2,0.2,0,0.0,0.0005274910307726667,0.0
33,141,0.0,0.0,5,0.00334381776319137,0.00040027599572001193,0.0019834810648345913
33,141,0.0,0.1,7,0.004376764779686293,0.0005274910307726566,0.0029435669400308395
33,141,0.0,0.2,8,0.005361886908452074,0.0005274910307726566,0.0039046270979894437
33,141,0.1,0.0,0,0.0,0.00040027599572001193,0.0
33,141,0.1,0.1,0,0.0,0.0005274910307726566,0.0
33,141,0.1,0.2,0,0.0,0.0005274910307726566,0.0
33,141,0.2,0.0,0,0.0,0.0004002759957200086,0.0
33,141,0.2,0.1,0,0.0,0.0005274910307726532,0.0
33,141,0.2,0.2,0,0.0,0.0005274910307726532,0.0
33,143,0.0,0.0,19,0.03748372785183296,0.0007579145766942775,0.03359904603846553
33,143,0.0,0.1,20,0.0401079234449242,0.0005274910307726566,0.03619934674450487
33,143,0.0,0.2,21,0.04292228628410666,0.0005274910307726566,0.038807067982456034
33,143,0.1,0.0,13,0.02521649437756146,0.0007579145766942775,0.02233049413549737
33,143,0.1,0.1,16,0.027849666771536996,0.0005274910307726566,0.024899120322843138
